sport,event_id,commence_time,team1,team2,teams_label,bookmaker,team1_odds,team2_odds,team1_prob,team2_prob,team1_prob_norm,team2_prob_norm,market_prob,model_prob,sentiment_score,sentiment_score_norm,discrepancy,inefficiency_score,news_headlines,ingestion_ts,last_updated
soccer_epl,5a8cba5d7d519405039a0b57f782015b,2025-11-24T20:00:00Z,Everton,Manchester United,Everton vs Manchester United,FanDuel,4.9,1.69,0.2040816326530612,0.591715976331361,0.25644916540212437,0.7435508345978755,0.25644916540212437,0.5,0.0,0.5,0.24355083459787563,0.7435508345978756,,2025-11-09T10:31:12.387493+00:00,2025-11-09T10:31:12.387493+00:00
soccer_epl,4ba22059a9913039d2f57229dc72f4ea,2025-11-29T15:00:00Z,Bournemouth,Sunderland,Bournemouth vs Sunderland,MyBookie.ag,2.3,2.97,0.4347826086956522,0.33670033670033667,0.5635673624288426,0.43643263757115747,0.5635673624288426,0.5,0.0,0.5,0.06356736242884264,0.5635673624288426,,2025-11-09T10:31:20.616609+00:00,2025-11-09T10:31:20.616609+00:00
soccer_epl,08b50ad69ab9749cae69599e701880dd,2025-11-29T15:00:00Z,Brentford,Burnley,Brentford vs Burnley,MyBookie.ag,1.57,5.6,0.6369426751592356,0.17857142857142858,0.7810320781032077,0.2189679218967922,0.7810320781032077,0.5,0.0,0.5,0.28103207810320774,0.7810320781032077,,2025-11-09T10:31:28.816549+00:00,2025-11-09T10:31:28.816549+00:00
soccer_epl,ed78df6eadace430b85a5455420d5b96,2025-11-29T15:00:00Z,Leeds United,Manchester City,Leeds United vs Manchester City,MyBookie.ag,9.9,1.25,0.10101010101010101,0.8,0.11210762331838564,0.8878923766816144,0.11210762331838564,0.5,0.0,0.5,0.38789237668161436,0.8878923766816144,,2025-11-09T10:31:36.955715+00:00,2025-11-09T10:31:36.955715+00:00
soccer_epl,4a5da60e08a50de268435d74d4eae61e,2025-11-29T17:30:00Z,Everton,Newcastle United,Everton vs Newcastle United,MyBookie.ag,2.96,2.33,0.33783783783783783,0.4291845493562232,0.44045368620037806,0.5595463137996219,0.44045368620037806,0.5,0.0,0.5,0.05954631379962194,0.5595463137996219,,2025-11-09T10:31:45.186307+00:00,2025-11-09T10:31:45.186307+00:00
soccer_epl,dc1ba74350071be58d2265b6060619f9,2025-11-29T20:00:00Z,Fulham,Tottenham Hotspur,Fulham vs Tottenham Hotspur,MyBookie.ag,3.48,1.99,0.28735632183908044,0.5025125628140703,0.36380255941499084,0.6361974405850092,0.36380255941499084,0.5,0.0,0.5,0.13619744058500916,0.6361974405850092,,2025-11-09T10:31:53.333296+00:00,2025-11-09T10:31:53.333296+00:00
soccer_epl,04a7592aee6053a0cc6034d8c87e38e2,2025-11-30T12:00:00Z,Crystal Palace,Manchester United,Crystal Palace vs Manchester United,MyBookie.ag,2.47,2.57,0.4048582995951417,0.38910505836575876,0.5099206349206349,0.4900793650793651,0.5099206349206349,0.5,0.0,0.5,0.009920634920634885,0.5099206349206349,,2025-11-09T10:32:01.488650+00:00,2025-11-09T10:32:01.488650+00:00
soccer_epl,22273cac8d549daacd616fb5f88c46de,2025-11-30T14:05:00Z,Aston Villa,Wolverhampton Wanderers,Aston Villa vs Wolverhampton Wanderers,MyBookie.ag,1.45,6.4,0.6896551724137931,0.15625,0.8152866242038217,0.18471337579617833,0.8152866242038217,0.5,0.0,0.5,0.3152866242038217,0.8152866242038217,,2025-11-09T10:32:09.690039+00:00,2025-11-09T10:32:09.690039+00:00
soccer_epl,6c548b72cfa9aaf88eab8c2dba215c14,2025-11-30T14:05:00Z,Brighton and Hove Albion,Nottingham Forest,Brighton and Hove Albion vs Nottingham Forest,MyBookie.ag,2.48,2.58,0.40322580645161293,0.38759689922480617,0.5098814229249012,0.49011857707509876,0.5098814229249012,0.5,0.0,0.5,0.00988142292490124,0.5098814229249012,,2025-11-09T10:32:19.099910+00:00,2025-11-09T10:32:19.099910+00:00
soccer_epl,b37d89515348a998944587dd33865308,2025-11-30T14:05:00Z,Liverpool,West Ham United,Liverpool vs West Ham United,MyBookie.ag,1.54,5.1,0.6493506493506493,0.19607843137254904,0.7680722891566265,0.23192771084337355,0.7680722891566265,0.5,0.0,0.5,0.2680722891566265,0.7680722891566265,,2025-11-09T10:32:27.509915+00:00,2025-11-09T10:32:27.509915+00:00
soccer_epl,06b4a94dad33597579c30e6901e2c008,2025-11-30T16:30:00Z,Arsenal,Chelsea,Arsenal vs Chelsea,MyBookie.ag,1.92,3.8,0.5208333333333334,0.2631578947368421,0.6643356643356643,0.3356643356643356,0.6643356643356643,0.5,0.0,0.5,0.16433566433566427,0.6643356643356643,,2025-11-09T10:32:35.838701+00:00,2025-11-09T10:32:35.838701+00:00
